DATAFLOW,REF_AREA,FREQ,MEASURE,QTL,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_01,2013,0.44,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_02,2013,1.01,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_03,2013,1.7,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_04,2013,2.88,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_05,2013,4.79,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_06,2013,6.89,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_07,2013,9.55,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_08,2013,13.18,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_09,2013,18.68,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_10,2013,40.89,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_01,2014,0.45,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_02,2014,1.03,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_03,2014,1.72,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_04,2014,2.92,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_05,2014,4.84,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_06,2014,6.97,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_07,2014,9.69,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_08,2014,13.32,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_09,2014,18.74,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_10,2014,40.31,,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_01,2015,0.47,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_02,2015,1.06,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_03,2015,1.75,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_04,2015,2.96,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_05,2015,4.91,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_06,2015,7.07,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_07,2015,9.87,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_08,2015,13.49,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_09,2015,18.8,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_10,2015,39.62,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_01,2016,0.49,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_02,2016,1.09,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_03,2016,1.77,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_04,2016,3.01,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_05,2016,4.97,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
ILO:DF_LAP_2LID_QTL_RT(1.0),AFG,A,LAP_2LID_RT,QTL_DECILE_06,2016,7.17,M,RT,PT,0,ILO - Modelled Estimates,,,,1,,
