codelist,codelist_name,codelist_description,code_id,code_name,code_description,code_parent
ILO:CL_AREA(1.0),Reference Area,,AGO,Angola,,
ILO:CL_AREA(1.0),Reference Area,,BDI,Burundi,,
ILO:CL_AREA(1.0),Reference Area,,BEN,Benin,,
ILO:CL_AREA(1.0),Reference Area,,BFA,Burkina Faso,,
ILO:CL_AREA(1.0),Reference Area,,BWA,Botswana,,
ILO:CL_AREA(1.0),Reference Area,,CAF,Central African Republic,,
ILO:CL_AREA(1.0),Reference Area,,CIV,Côte d'Ivoire,,
ILO:CL_AREA(1.0),Reference Area,,CMR,Cameroon,,
ILO:CL_AREA(1.0),Reference Area,,COD,"Congo, Democratic Republic of the",,
ILO:CL_AREA(1.0),Reference Area,,COG,Congo,,
ILO:CL_AREA(1.0),Reference Area,,COM,Comoros,,
ILO:CL_AREA(1.0),Reference Area,,CPV,Cape Verde,,
ILO:CL_AREA(1.0),Reference Area,,DJI,Djibouti,,
ILO:CL_AREA(1.0),Reference Area,,DZA,Algeria,,
ILO:CL_AREA(1.0),Reference Area,,EGY,Egypt,,
ILO:CL_AREA(1.0),Reference Area,,ERI,Eritrea,,
ILO:CL_AREA(1.0),Reference Area,,ESH,Western Sahara,,
ILO:CL_AREA(1.0),Reference Area,,ETH,Ethiopia,,
ILO:CL_AREA(1.0),Reference Area,,GAB,Gabon,,
ILO:CL_AREA(1.0),Reference Area,,GHA,Ghana,,
ILO:CL_AREA(1.0),Reference Area,,GIN,Guinea,,
ILO:CL_AREA(1.0),Reference Area,,GMB,Gambia,,
ILO:CL_AREA(1.0),Reference Area,,GNB,Guinea-Bissau,,
ILO:CL_AREA(1.0),Reference Area,,GNQ,Equatorial Guinea,,
ILO:CL_AREA(1.0),Reference Area,,KEN,Kenya,,
ILO:CL_AREA(1.0),Reference Area,,LBR,Liberia,,
ILO:CL_AREA(1.0),Reference Area,,LBY,Libya,,
ILO:CL_AREA(1.0),Reference Area,,LSO,Lesotho,,
ILO:CL_AREA(1.0),Reference Area,,MAR,Morocco,,
ILO:CL_AREA(1.0),Reference Area,,MDG,Madagascar,,
ILO:CL_AREA(1.0),Reference Area,,MLI,Mali,,
ILO:CL_AREA(1.0),Reference Area,,MOZ,Mozambique,,
ILO:CL_AREA(1.0),Reference Area,,MRT,Mauritania,,
ILO:CL_AREA(1.0),Reference Area,,MUS,Mauritius,,
ILO:CL_AREA(1.0),Reference Area,,MWI,Malawi,,
ILO:CL_AREA(1.0),Reference Area,,NAM,Namibia,,
ILO:CL_AREA(1.0),Reference Area,,NER,Niger,,
ILO:CL_AREA(1.0),Reference Area,,NGA,Nigeria,,
ILO:CL_AREA(1.0),Reference Area,,REU,Réunion,,
ILO:CL_AREA(1.0),Reference Area,,RWA,Rwanda,,
ILO:CL_AREA(1.0),Reference Area,,SDN,Sudan,,
ILO:CL_AREA(1.0),Reference Area,,SEN,Senegal,,
ILO:CL_AREA(1.0),Reference Area,,SHN,Saint Helena,,
ILO:CL_AREA(1.0),Reference Area,,SLE,Sierra Leone,,
ILO:CL_AREA(1.0),Reference Area,,SOM,Somalia,,
ILO:CL_AREA(1.0),Reference Area,,STP,Sao Tome and Principe,,
ILO:CL_AREA(1.0),Reference Area,,SWZ,Eswatini,,
ILO:CL_AREA(1.0),Reference Area,,SYC,Seychelles,,
ILO:CL_AREA(1.0),Reference Area,,TCD,Chad,,
ILO:CL_AREA(1.0),Reference Area,,TGO,Togo,,
ILO:CL_AREA(1.0),Reference Area,,TUN,Tunisia,,
ILO:CL_AREA(1.0),Reference Area,,TZA,"Tanzania, United Republic of",,
ILO:CL_AREA(1.0),Reference Area,,UGA,Uganda,,
ILO:CL_AREA(1.0),Reference Area,,ZAF,South Africa,,
ILO:CL_AREA(1.0),Reference Area,,ZMB,Zambia,,
ILO:CL_AREA(1.0),Reference Area,,ZWE,Zimbabwe,,
ILO:CL_AREA(1.0),Reference Area,,SSD,South Sudan,,
ILO:CL_AREA(1.0),Reference Area,,ABW,Aruba,,
ILO:CL_AREA(1.0),Reference Area,,AIA,Anguilla,,
ILO:CL_AREA(1.0),Reference Area,,ANT,Netherlands Antilles,,
ILO:CL_AREA(1.0),Reference Area,,ARG,Argentina,,
ILO:CL_AREA(1.0),Reference Area,,ATG,Antigua and Barbuda,,
ILO:CL_AREA(1.0),Reference Area,,BHS,Bahamas,,
ILO:CL_AREA(1.0),Reference Area,,BLZ,Belize,,
ILO:CL_AREA(1.0),Reference Area,,BMU,Bermuda,,
ILO:CL_AREA(1.0),Reference Area,,BOL,Bolivia,,
ILO:CL_AREA(1.0),Reference Area,,BRA,Brazil,,
ILO:CL_AREA(1.0),Reference Area,,BRB,Barbados,,
ILO:CL_AREA(1.0),Reference Area,,CAN,Canada,,
ILO:CL_AREA(1.0),Reference Area,,CHL,Chile,,
ILO:CL_AREA(1.0),Reference Area,,COL,Colombia,,
ILO:CL_AREA(1.0),Reference Area,,CRI,Costa Rica,,
ILO:CL_AREA(1.0),Reference Area,,CUB,Cuba,,
ILO:CL_AREA(1.0),Reference Area,,CYM,Cayman Islands,,
ILO:CL_AREA(1.0),Reference Area,,DMA,Dominica,,
ILO:CL_AREA(1.0),Reference Area,,DOM,Dominican Republic,,
ILO:CL_AREA(1.0),Reference Area,,ECU,Ecuador,,
ILO:CL_AREA(1.0),Reference Area,,FLK,Falkland Islands (Malvinas),,
ILO:CL_AREA(1.0),Reference Area,,GLP,Guadeloupe,,
ILO:CL_AREA(1.0),Reference Area,,GRD,Grenada,,
ILO:CL_AREA(1.0),Reference Area,,GRL,Greenland,,
ILO:CL_AREA(1.0),Reference Area,,GTM,Guatemala,,
ILO:CL_AREA(1.0),Reference Area,,GUF,French Guiana,,
ILO:CL_AREA(1.0),Reference Area,,GUY,Guyana,,
ILO:CL_AREA(1.0),Reference Area,,HND,Honduras,,
ILO:CL_AREA(1.0),Reference Area,,HTI,Haiti,,
ILO:CL_AREA(1.0),Reference Area,,JAM,Jamaica,,
ILO:CL_AREA(1.0),Reference Area,,KNA,Saint Kitts and Nevis,,
ILO:CL_AREA(1.0),Reference Area,,LCA,Saint Lucia,,
ILO:CL_AREA(1.0),Reference Area,,MEX,Mexico,,
ILO:CL_AREA(1.0),Reference Area,,MSR,Montserrat,,
ILO:CL_AREA(1.0),Reference Area,,MTQ,Martinique,,
ILO:CL_AREA(1.0),Reference Area,,NIC,Nicaragua,,
ILO:CL_AREA(1.0),Reference Area,,PAN,Panama,,
ILO:CL_AREA(1.0),Reference Area,,PER,Peru,,
ILO:CL_AREA(1.0),Reference Area,,PRI,Puerto Rico,,
ILO:CL_AREA(1.0),Reference Area,,PRY,Paraguay,,
ILO:CL_AREA(1.0),Reference Area,,SLV,El Salvador,,
ILO:CL_AREA(1.0),Reference Area,,SPM,Saint Pierre and Miquelon,,
ILO:CL_AREA(1.0),Reference Area,,SUR,Suriname,,
ILO:CL_AREA(1.0),Reference Area,,TCA,Turks and Caicos Islands,,
ILO:CL_AREA(1.0),Reference Area,,TTO,Trinidad and Tobago,,
ILO:CL_AREA(1.0),Reference Area,,URY,Uruguay,,
ILO:CL_AREA(1.0),Reference Area,,USA,United States,,
ILO:CL_AREA(1.0),Reference Area,,VCT,Saint Vincent and the Grenadines,,
ILO:CL_AREA(1.0),Reference Area,,VEN,"Venezuela, Bolivarian Republic of",,
ILO:CL_AREA(1.0),Reference Area,,VGB,British Virgin Islands,,
ILO:CL_AREA(1.0),Reference Area,,VIR,United States Virgin Islands,,
ILO:CL_AREA(1.0),Reference Area,,CUW,Curaçao,,
ILO:CL_AREA(1.0),Reference Area,,ARE,United Arab Emirates,,
ILO:CL_AREA(1.0),Reference Area,,BHR,Bahrain,,
ILO:CL_AREA(1.0),Reference Area,,IRQ,Iraq,,
ILO:CL_AREA(1.0),Reference Area,,JOR,Jordan,,
ILO:CL_AREA(1.0),Reference Area,,KWT,Kuwait,,
