codelist,codelist_name,codelist_description,code_id,code_name,code_description,code_parent
ILO:CL_MEASURE(1.0),Measure,,EMP_2WAP_RT,Employment-to-population ratio -- ILO modelled estimates,"<strong>Imputed observations are not based on national data, are subject to high uncertainty and should not be used for country comparisons or rankings. </strong> The employment-to-population ratio expresses the number of persons who are employed as a percent of the total working age population. The series is part of the ILO estimates and is harmonized to account for differences in national data and scope of coverage, collection and tabulation methodologies as well as for other country-specific factors. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,SOC_OOPE_RT,Out-of-pocket expenditure as a percentage of total health expenditure,"This indicator is a proxy for financial protection in case of ill health. It represents the amount of money paid directly to health care providers in exchange for health goods and services as a percentage of total health expenditure. A higher figure indicates higher percentage of out-of-pocket payments. This is one of five indicators measuring key dimensions of deficits in health care access and coverage. For analytical purposes the full set of indicators should be considered together. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,GDP_211P_NB,Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates,"<p><strong>Imputed observations are not based on national data, are subject to high uncertainty and should not be used for country comparisons or rankings. </strong>This measure of labour productivity is calculated using data on GDP (in constant 2017 international dollars at PPP) derived from the World Development Indicators database of the World Bank. To compute labour productivity as GDP per worker, ILO estimates for total employment are used. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,GDP_205U_NB,Output per worker (GDP constant 2010 US $) -- ILO modelled estimates,"<strong>Imputed observations are not based on national data, are subject to high uncertainty and should not be used for country comparisons or rankings. </strong> This measure of labour productivity is calculated using data on GDP in constant 2010 US dollars derived from the World Development Indicators database of the World Bank. To compute labour productivity as GDP per worker, ILO estimates for total employment are used. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.",
ILO:CL_MEASURE(1.0),Measure,,GDP_PHOW_NB,Output per hour worked (GDP constant 2017 international $ at PPP) -- ILO modelled estimates,"<p><strong>Imputed observations are not based on national data, are subject to high uncertainty and should not be used for country comparisons or rankings. </strong>This measure of labour productivity is calculated using data on GDP (in constant 2017 international dollars at PPP) derived from the World Development Indicators database of the World Bank. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,GED_TWAP_NB,Prime-age population,"<p>The prime-age population refers to persons aged 25 to 54 years. For more information, refer to the <a href=""https://ilostat.ilo.org/resources/concepts-and-definitions/"">concepts and definitions</a> page.</p>",
ILO:CL_MEASURE(1.0),Measure,,HOW_2LSS_RT,Working hours lost due to the COVID-19 crisis -- ILO modelled estimates,,
ILO:CL_MEASURE(1.0),Measure,,SSA_YEAR_NB,Existence of an ISSA,No description available,
ILO:CL_MEASURE(1.0),Measure,,HOW_2FTE_NB,Working hours lost due to the COVID-19 crisis expressed as number of FTE jobs -- ILO modelled estimates,,
ILO:CL_MEASURE(1.0),Measure,,SSA_XCOV_NB,Number of persons covered by ISSAs,No description available,
